menuID,menuName,menuDisplayName,menuDescription,categoryID,categoryName,categoryDisplayName,categoryDescription,dishID,dishName,dishPrice,dishType,dishDescription,displayName,printName,tags,imageURL
,Menu,,,,Burgers,,,,Sticky Pork Belly Burger,30.90,standard,"Pickled Red Cabbage, Ginger, Coriander & Crispy Shallot Salad With Confit Garlic Aioli",,,,https://tb-static.uber.com/prod/image-proc/processed_images/1ce6c0db1573cbb161e067ff16ee8250/c67fc65e9b4e16a553eb7574fba090f1.jpeg
,Menu,,,,Burgers,,,,August special - Drunk Chick Burger,30.90,standard,Beer Battered chicken - 7 island sauce - house pickles- lettuce. Comes With a combo of Crisp fried Agria chips loaded with hot cheesy sauce. The Perfect meal for One.,,,,https://tb-static.uber.com/prod/image-proc/processed_images/720ad185eddd510b33a606a797a4f22b/c67fc65e9b4e16a553eb7574fba090f1.jpeg
,Menu,,,,Burgers,,,,Panko Crumbed Fish Burger,30.90,standard,"Cucumber, Capsicum, Spring Onion, Sesame Seeds, Coriander, Chilli, Coconut & Kimchi Mayo",,,,https://tb-static.uber.com/prod/image-proc/processed_images/c92570ce93a293a384540d22f9868973/c67fc65e9b4e16a553eb7574fba090f1.jpeg
,Menu,,,,Burgers,,,,Vegan Quinoa Burger,30.90,standard,"Quinoa, Vegetable And Chickpea Pattie, Guacamole, Lettuce, Tomato, Red Onion & Beetroot Relish",,,,https://tb-static.uber.com/prod/enhanced-images/image-touchup-v1/47a923d145e011c88c58a4aa66ef9d6c/40380a901f9400b7d9e2d40acf7ec752.jpeg
,Menu,,,,Specials,,,,Chippery Fried Chicken,16.30,standard,4 Chippery Fried Chicken & 1 Hot Sauce,,,,https://tb-static.uber.com/prod/image-proc/processed_images/abdd0f0da3e472e60fc0fd95e20f8fc8/c67fc65e9b4e16a553eb7574fba090f1.jpeg
,Menu,,,,Specials,,,,C.F.C Snackbox,20.30,standard,"3 Chicken, Half Beer Battered Chips & 1 Hot Sauce",,,,https://tb-static.uber.com/prod/image-proc/processed_images/4c7b433fa2a75d7e5cb682f9a1779b9b/c67fc65e9b4e16a553eb7574fba090f1.jpeg
,Menu,,,,Specials,,,,"Chips, Cheese & Gravy",15.40,standard,Beer Battered Chips Coated In Stringy Mozzarella And Steaming Hot Gravy,,,,https://tb-static.uber.com/prod/image-proc/processed_images/46b9d7cd9dc1717c001795790e5be9d2/c67fc65e9b4e16a553eb7574fba090f1.jpeg
,Menu,,,,Specials,,,,Donuts,9.80,standard,2 Fresh Donuts Coated In Cinnamon Sugar & Topped With Chocolate Sauce,,,,https://tb-static.uber.com/prod/image-proc/processed_images/7655568214930c15d687164a780d924f/c67fc65e9b4e16a553eb7574fba090f1.jpeg
,Menu,,,,Kids Special,,,,Kid Chicken Tenders,16.30,standard,Free-Range Waitoa Chicken Nuggets With Curly Fries & Tomato Sauce,,,Popular,https://tb-static.uber.com/prod/enhanced-images/image-touchup-v1/db46e15c6329649d6206d88f230f13db/97ef050b1716893ca6bd911ab6cad524.jpeg
,Menu,,,,Kids Special,,,,Kid Fish Fingers,16.30,standard,Panko Crumbed Fish Bites With Curly Fries & Tomato Sauce,,,,https://tb-static.uber.com/prod/image-proc/processed_images/c9441cde0f4640aaa6ac0ff98bdc9e46/c67fc65e9b4e16a553eb7574fba090f1.jpeg
,Menu,,,,Kids Special,,,,Kids Cheese Burger,16.30,standard,"Handmade NZ Beef Pattie, Cheese & Tomato Sauce",,,,https://tb-static.uber.com/prod/image-proc/processed_images/3d6ebaf4c63f93bf4f0aa3ab3eb5668d/c67fc65e9b4e16a553eb7574fba090f1.jpeg
,Menu,,,,Fresh House Salads,,,,Coleslaw,9.80,standard,"Seasonal Favorites – Radishes, Fennel, Celery, Carrot, Red Cabbage, White Cabbage, Herbs Coated In Our Own Wholegrain Mustard Yoghurt Dressing",,,Popular,https://tb-static.uber.com/prod/image-proc/processed_images/2489954958c04a27c0af268742b44367/c67fc65e9b4e16a553eb7574fba090f1.jpeg
,Menu,,,,Drinks,,,,Coke (Glass),8.10,standard,Soft Drink - 330ml glass,,,Popular,https://tb-static.uber.com/prod/image-proc/processed_images/e28b4fcebb914a222074a86de331bcb0/c67fc65e9b4e16a553eb7574fba090f1.jpeg
,Menu,,,,Drinks,,,,Fanta (Glass),8.10,standard,Soft Drink - Bottle,,,,https://tb-static.uber.com/prod/image-proc/processed_images/93d9ca643d565fe9d180a27fe3c4b1c7/c67fc65e9b4e16a553eb7574fba090f1.jpeg
,Menu,,,,Drinks,,,,L&P (Glass),8.10,standard,Soft Drink - Bottle,,,,https://tb-static.uber.com/prod/image-proc/processed_images/78c44bae222ac85092cc864f72bd11dd/ed1f16b49f17b0ce1dcafb99086b7819.jpeg
,Menu,,,,Drinks,,,,Diet Coke,8.10,standard,Diet Coke 1.25 L Bottle,,,,https://tb-static.uber.com/prod/image-proc/processed_images/6721ec8e87c289541fc235fec91ba459/c67fc65e9b4e16a553eb7574fba090f1.jpeg
,Menu,,,,Drinks,,,,Fuze Lemon Ice Tea,8.10,standard,Fuze Lemon Ice Tea Drink,,,,https://tb-static.uber.com/prod/image-proc/processed_images/40615727ed403b96192b08ade1c0e88f/c67fc65e9b4e16a553eb7574fba090f1.jpeg
,Menu,,,,Drinks,,,,Fuze Peach Ice Tea,8.10,standard,Fuze Peach Ice Tea Drink,,,,https://tb-static.uber.com/prod/image-proc/processed_images/4e6650a56866e18a31fe626a713b4829/c67fc65e9b4e16a553eb7574fba090f1.jpeg
,Menu,,,,Drinks,,,,Most Sparkling Apple & Black Currant,8.10,standard,Most Sparkling Apple & Black Currant Drink,,,,https://tb-static.uber.com/prod/image-proc/processed_images/a99462e3d5561dc0539fc356fc599a87/2f0d303e63763498dd961e5784d92319.jpeg
,Menu,,,,Drinks,,,,Most Sparkling Apple & Guava,8.10,standard,Most Sparkling Apple & Guava Drink 330ml,,,,https://tb-static.uber.com/prod/image-proc/processed_images/a7d1b74b153b96cee07445d69188a20d/c67fc65e9b4e16a553eb7574fba090f1.jpeg
,Menu,,,,Drinks,,,,Pump Water,8.10,standard,Pump Water Drink,,,,https://tb-static.uber.com/prod/image-proc/processed_images/6b84ec44fd0452ebaafb37ac519a326a/608c8c2ab6752eb76d2903b1d0b8a328.jpeg
